user,ID,rating
marriedcouple,84876,10.0
scheibu,84876,10.0
Crazysmurf91,84876,10.0
fILLE,84876,10.0
Armor252,84876,10.0
trashgaetan,84876,10.0
evilschnuck,84876,10.0
Crossedgamers,84876,10.0
cindyfnb,84876,10.0
Kamus,84876,10.0
Potter327,84876,10.0
dgibbon,84876,10.0
FRANK300370,84876,10.0
dave8,84876,10.0
Arzaphan,84876,10.0
pietek,84876,10.0
banachspacecadet,84876,10.0
RNeves,84876,10.0
peji911,84876,10.0
eslepak,84876,10.0
deadcatdreaming,84876,10.0
Arwidoo,84876,10.0
behof,84876,10.0
lrx200276,84876,10.0
Mara79,84876,10.0
tgjason,84876,10.0
poolunion,84876,10.0
Pitak,84876,10.0
Janekzzz,84876,10.0
michalmarzeda,84876,10.0
battlefs,84876,10.0
Naxxos,84876,10.0
Knight1729,84876,10.0
olankline,84876,10.0
Hruberen,84876,10.0
roybot,84876,10.0
Wolfdogs,84876,10.0
lunepremiere79,84876,10.0
JFMaher,84876,10.0
Mlestrange,84876,10.0
Clumsydad,84876,10.0
Miss Behaves,84876,10.0
Michay,84876,10.0
SamParker,84876,10.0
Dungeonlord17,84876,10.0
yourwhiteshadow,84876,10.0
Lysiur,84876,10.0
ayreonaut,84876,10.0
genghisdhan,84876,10.0
Denzien,84876,10.0
benc11,84876,10.0
qzj910114,84876,10.0
gica_black,84876,10.0
EmpressGeek,84876,10.0
catqueen,84876,10.0
cbouwkamp,84876,10.0
Scottvw,84876,10.0
jfarrell89,84876,10.0
ngidding,84876,10.0
hom04ok,84876,10.0
waterfallfaery,84876,10.0
DantonTH,84876,10.0
zmonny,84876,10.0
PicardforPresident,84876,10.0
lucashimizu,84876,10.0
jasminaxa,84876,10.0
gerizim17,84876,10.0
tfoth,84876,10.0
IamJacksUserID,84876,10.0
Brulomon,84876,10.0
RPete,84876,10.0
anticolghost,84876,10.0
piliersfreak,84876,10.0
romeoix,84876,10.0
nesssi78,84876,10.0
BloodsGrawl,84876,10.0
rmiller333,84876,10.0
jenjkz,84876,10.0
ajaxv2,84876,10.0
Maciek79,84876,10.0
mihu21,84876,10.0
blicko,84876,10.0
lovehunter,84876,10.0
jjbidwell,84876,10.0
Sherlock221B,84876,10.0
a3456727,84876,10.0
josiu,84876,10.0
sjonnie,84876,10.0
bieldam,84876,10.0
Debsworth,84876,10.0
mommylego,84876,10.0
Planszman,84876,10.0
coell,84876,10.0
SH5000,84876,10.0
Maxchamp,84876,10.0
newboredgamer,84876,10.0
NandoEvil,84876,10.0
scannerdarkly7,84876,10.0
nlshelton,84876,10.0
julielebouthillier,84876,10.0
Requash,84876,10.0
WhoaWorthy,84876,10.0
Xcarti,84876,10.0
Sherban,84876,10.0
ioloughlin,84876,10.0
ziom,84876,10.0
Corbin503,84876,10.0
LeHavreFanatic99,84876,10.0
jjeanelle,84876,10.0
Barry1980,84876,10.0
romache,84876,10.0
Francovic,84876,10.0
bodl,84876,10.0
Kommandant Krey,84876,10.0
Darth Hahn,84876,10.0
marconsilva,84876,10.0
pjtuck,84876,10.0
DRimdzius,84876,10.0
Shadow91,84876,10.0
chicazaj,84876,10.0
cheato,84876,10.0
Tygana,84876,10.0
valek2009,84876,10.0
Louie14,84876,10.0
RSimiqueli,84876,10.0
brendan126,84876,10.0
erlloyd,84876,10.0
Warpedwarrior4,84876,10.0
cjschumacher07,84876,10.0
dkomilis,84876,10.0
SigmundRex,84876,10.0
chrisbrewer916,84876,10.0
wslbrrghs,84876,10.0
issyigloo,84876,10.0
SadCryBear,84876,10.0
ttscha,84876,10.0
rlcks0282,84876,10.0
Kryptom,84876,10.0
rautila,84876,10.0
Arlelka,84876,10.0
psycobubble,84876,10.0
MSGuzy,84876,10.0
vinylvandal,84876,10.0
conan51,84876,10.0
yogidiver,84876,10.0
Ryber,84876,10.0
Elma_MAn,84876,10.0
donaldc619,84876,10.0
Joshiswell,84876,10.0
Zerofaith,84876,10.0
catchmax,84876,10.0
Modron,84876,10.0
KTub,84876,10.0
holbeint,84876,10.0
CactusLaser,84876,10.0
atc07442,84876,10.0
ZeroBushido,84876,10.0
Mortjer2,84876,10.0
Horst210,84876,10.0
Starcadian,84876,10.0
Anakha88,84876,10.0
bestmrj,84876,10.0
torresse1,84876,10.0
Feonnor,84876,10.0
diegoajipe_93,84876,10.0
thephantomellipsis,84876,10.0
charlesque,84876,10.0
vookas,84876,10.0
AmbroseC,84876,10.0
karmamonster,84876,10.0
gamervc,84876,10.0
Liusdx,84876,10.0
Minnnie1234,84876,10.0
mrgoodwrong,84876,10.0
Milo1969,84876,10.0
saraelyse,84876,10.0
GamerWonderWoman,84876,10.0
rblichfeldt,84876,10.0
Machinegun Joe,84876,10.0
Liza91,84876,10.0
jdholt10,84876,10.0
smoke353,84876,10.0
Atsam,84876,10.0
jgood29,84876,10.0
Holly Greenwoodtree,84876,10.0
malteac,84876,10.0
murruy,84876,10.0
Larry Meeple,84876,10.0
EtanMoonstar,84876,10.0
JellybeanG,84876,10.0
mopfknoppf,84876,10.0
narolenko,84876,10.0
spartyms2,84876,10.0
Raffolita,84876,10.0
Patesco,84876,10.0
Spikiii,84876,10.0
kmd7,84876,10.0
Tecasiro,84876,10.0
klimit1215,84876,10.0
vinc91,84876,10.0
AntonioManowar,84876,10.0
zendercrow,84876,10.0
Navet bleu,84876,10.0
16crab,84876,10.0
zeroset,84876,10.0
serendipity2003,84876,10.0
majkamel,84876,10.0
ThreeAM,84876,10.0
Haen,84876,10.0
jmvazquezjr,84876,10.0
Greensabre27,84876,10.0
sherediaavalos,84876,10.0
scafandr,84876,10.0
Geschaft,84876,10.0
catbagan,84876,10.0
PackerJer,84876,10.0
zhangxw2204,84876,10.0
sydoniaa,84876,10.0
ericma103,84876,10.0
0minus,84876,10.0
skoczek82,84876,10.0
VanGerwenFan1,84876,10.0
Der Professor,84876,10.0
alekgev,84876,10.0
szymi,84876,10.0
micamouse,84876,10.0
Eredhel Aratar,84876,10.0
TeChNoWC,84876,10.0
AnnJackson,84876,10.0
Matt76,84876,10.0
TheMuse263,84876,10.0
hellochessie,84876,10.0
philemonkey,84876,10.0
Yadman00,84876,10.0
canderson32,84876,10.0
latham,84876,10.0
OptiMystic,84876,10.0
Antikumanz,84876,10.0
Inari44,84876,10.0
mechanizedpanda,84876,10.0
MichaelDyrud,84876,10.0
cbeech08,84876,10.0
Shakka,84876,10.0
ProLaborSocialist,84876,10.0
microbe882,84876,10.0
Gillette,84876,10.0
wuyunru,84876,10.0
AbdelAdrian2099,84876,10.0
Karstico,84876,10.0
Messabuzzy,84876,10.0
drsnuggles,84876,10.0
ChrisGK,84876,10.0
PinguimJusticeiro,84876,10.0
tonedef84,84876,10.0
